Title,URL,Location,Keywords

**Whistler,,,
"Roundhouse",     "https://common.snow.com/mtncams/roundhouse2.jpg",    "50.0684404,-122.9642227", "Whistler, Ski"
"Emerald",        "https://common.snow.com/mtncams/emerald2.jpg",       "50.0684404,-122.9642227", "Whistler, Ski"
"Heli Pad",       "https://common.snow.com/mtncams/heli_pad2.jpg",      "50.0684404,-122.9642227", "Whistler, Ski"
"Red Chair",      "https://common.snow.com/mtncams/big_red2.jpg",       "50.0684404,-122.9642227", "Whistler, Ski"
"Valley South",   "https://common.snow.com/mtncams/valley_south2.jpg",  "50.0684404,-122.9642227", "Whistler, Ski"
"Snow Stake",     "https://common.snow.com/mtncams/wbsnowstake.jpg",    "50.0684404,-122.9642227", "Whistler, Ski"

**Whistler Peak,,,
"Peak South",     "https://common.snow.com/Mtncams/2south.jpg",  "50.0642807,-122.9720333", "Whistler, Ski"
"Peak West",      "https://common.snow.com/Mtncams/4west.jpg",   "50.0642807,-122.9720333", "Whistler, Ski"
"Peak North",     "https://common.snow.com/Mtncams/6north.jpg",  "50.0642807,-122.9720333", "Whistler, Ski"

**Whistler Village,,,
"Excalibur",      "https://common.snow.com/Mtncams/1excalibur.jpg", "Whistler, BC", "Whistler, Ski"
"Fitzsimmons",    "https://common.snow.com/Mtncams/2fitzsimmons.jpg", "Whistler, BC", "Whistler, Ski"
"Skier's Plaza",  "https://common.snow.com/Mtncams/4garbos.jpg","Whistler, BC", "Whistler, Ski"
"GLC",            "https://common.snow.com/Mtncams/3glc.jpg","Whistler, BC", "Whistler, Ski"
"Creekside",      "https://common.snow.com/Mtncams/creek.jpg","Whistler, BC", "Whistler, Ski"
"Blackcomb Gondola", "https://common.snow.com/mtncams/UpperVillage.jpg","Whistler, BC", "Whistler, Ski"
"Olympic Plaza",  "https://files.whistler.com/webcam/olympic_plaza.jpg","Whistler, BC", "Whistler, Ski"
"Whistler Golf Club", "https://files.whistler.com/webcam/wgc.jpg","Whistler, BC", "Whistler, Ski"

**Blackcomb,,,
"7th Heaven",     "https://common.snow.com/Mtncams/7thliftline.jpg","50.0900638,-122.8919459", "Whistler, Ski"
"Glacier Creek",  "https://common.snow.com/Mtncams/3glaciercreek.jpg","50.0950426,-122.9071023", "Whistler, Ski"
"Crystal Road",   "https://common.snow.com/Mtncams/4crystalroad.jpg","50.0950426,-122.9071023", "Whistler, Ski"
"Peak 2 Peak",    "https://common.snow.com/Mtncams/6p2p.jpg","50.0950426,-122.9071023", "Whistler, Ski"
"Saudan Couloir", "https://common.snow.com/Mtncams/5couloir.jpg","50.0950426,-122.9071023", "Whistler, Ski"
"Solar Coaster",  "https://common.snow.com/Mtncams/1solar.jpg","50.0950426,-122.9071023", "Whistler, Ski"
"Wishbone",       "https://common.snow.com/Mtncams/2wishbone.jpg","50.0950426,-122.9071023", "Whistler, Ski"

**Glacier,,,
"Horstman",       "https://common.snow.com/Mtncams/3horstman.jpg","50.0964512,-122.8817964", "Whistler, Ski"
"Secret Bowl",    "https://common.snow.com/Mtncams/4secret.jpg","50.0964512,-122.8817964", "Whistler, Ski"
"Glacier",        "https://common.snow.com/Mtncams/2glacier.jpg","50.0964512,-122.8817964", "Whistler, Ski"
"Valley",         "https://common.snow.com/Mtncams/6ge_valley.jpg","50.0964512,-122.8817964", "Whistler, Ski"
"Showcase",       "https://common.snow.com/Mtncams/1showcase.jpg","50.0964512,-122.8817964", "Whistler, Ski"
"Glacier Express","https://common.snow.com/Mtncams/8ge.jpg","50.0964512,-122.8817964", "Whistler, Ski"

**DriveBC,,,
"Village Gate - N",          "https://images.drivebc.ca/bchighwaycam/pub/cameras/519.jpg", "Whistler, BC", "Whistler, DriveBC"
"Village Gate - E",          "https://images.drivebc.ca/bchighwaycam/pub/cameras/528.jpg", "Whistler, BC", "Whistler, DriveBC"
"Village Gate - S",          "https://images.drivebc.ca/bchighwaycam/pub/cameras/522.jpg", "Whistler, BC", "Whistler, DriveBC"
"Function Junction - N",     "https://images.drivebc.ca/bchighwaycam/pub/cameras/178.jpg", "Whistler, BC", "Whistler, DriveBC"
"Function Junction - S",     "https://images.drivebc.ca/bchighwaycam/pub/cameras/706.jpg", "Whistler, BC", "Whistler, DriveBC"
"Function Junction - E",     "https://images.drivebc.ca/bchighwaycam/pub/cameras/705.jpg", "Whistler, BC", "Whistler, DriveBC"
"Function Junction - W",     "https://images.drivebc.ca/bchighwaycam/pub/cameras/704.jpg", "Whistler, BC", "Whistler, DriveBC"

King5,,,
"Queen Anne","https://cdn.tegna-media.com/king/weather/queenanne.jpg","Seattle, WA",""
"Waterfront #1","https://cdn.tegna-media.com/king/weather/waterfront.jpg","Seattle, WA",""
"Sea-Tac Airport","https://cdn.tegna-media.com/king/weather/seatac.jpg","Sea Tac Airport",""
"Roof #1","https://cdn.tegna-media.com/king/weather/roofcam1nw500x281.jpg","Seattle, WA",""
"Roof #2","https://cdn.tegna-media.com/king/weather/roofcam2ne500x281.jpg","Seattle, WA",""
"Leavenworth","https://leavenworth.org/wp-content/dialup/frontstreet.jpg","Leavenworth, WA",""
"Mission Ridge","https://www.missionridge.com/webcam/microwave-cam.jpg","47.292438,-120.399893",""
"UW","https://www.washington.edu/cambots/camera1_l.jpg","University of Washington",""
"Kalaloch","https://cs1.pixelcaster.com/dnc-kalaloch/kalaloch.jpg","Kalaloch Lodge, WA",""
"Mount Rainier","https://www.nps.gov/webcams-mora/mountain.jpg","Paradise, WA",""
